id,text,audio,speaker_id,split,human_label,expected_issue,human_note
aishell_BAC009S0002W0133,其中包括对拥有一套住房并已结清相应购房贷款的家庭,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0133.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0134,为改善居住条件再次申请贷款购买普通商品住房,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0134.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0135,银行业金融机构执行首套房贷款政策,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0135.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0136,这个后来被称为九三零新政策的措施,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0136.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0137,被市场公认为是今年对楼市影响最大的一个政策,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0137.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0138,以提高住房公积金缴存职工住房消费能力,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0138.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0139,支持缴存职工购买首套和改善型自住住房,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0139.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0140,通过财政补贴手段鼓励购房的地区也在不断增加,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0140.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0141,其中多项政策惠及购房者,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0141.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0142,尚未取消限购,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0142.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0143,也通过大幅调整对普通住宅总价认定标准的方式,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0143.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0144,刺激改善型需求入市,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0144.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0145,而另外一剂楼市强心剂则当属央行的不对称降息,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0145.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0146,有业内人士当时就指出,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0146.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0147,对于房地产业的影响来说,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0147.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0148,货币手段历来是刺激市场需求的最有效工具,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0148.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0149,此次降息将成为市场加快库存去化的重要利器,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0149.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0150,房地产市场迅速变化,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0150.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0151,住房和城乡建设部会配合有关部门,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0151.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0152,强化地方调控主体责任,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0152.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0153,及时调整了限购差别化信贷等方面的政策,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0153.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0154,支持居民合理的住房消费,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0154.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0155,总体上保持了房地产市场平稳运行,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0155.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0156,住建部新闻发言人倪虹近日表示,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0156.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0157,即政府做好的事,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0157.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0158,市场发挥经济规律做好市场的事情,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0158.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0159,今年有望超三百亿美元,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0159.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0160,就连一向看多的任志强,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0160.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0161,近期也一反常态地发表看空言论,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0161.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0162,为了维持业绩的稳步增长,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0162.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0163,房企纷纷加大海外投资的力度,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0163.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0164,以填补国内市场下滑带来的损失,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0164.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0165,近年来中国已成为全球资本输出大国,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0165.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0166,对外房地产投资增长迅速,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0166.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0167,中国跨境房地产投资额则有望超过三百亿美元,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0167.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0168,超过此前数年海外房地产投资的总和,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0168.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0169,新华联在今年一月份,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0169.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0170,正式进军澳大利亚市场,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0170.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0171,而对外投资规模最大的两家房企,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0171.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0172,无疑当属绿地和万达,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0172.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0173,建成后该项目有望成为芝加哥第三高建筑,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0173.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0174,海外项目总投资超过两百亿美元,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0174.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0175,国家在相关政策上的变动,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0175.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0176,也进一步支持了房企到海外的投资,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0176.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0177,国务院在今年取消了对一般境外投资项目的审核制度,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0177.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0178,打破过去在外汇管理跨境资金流动方面的多重限制,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0178.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0179,移民人数的不断增长,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0179.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0180,也为出海房企提供了大量的需求,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0180.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0181,胡润中国私人财富管理白皮书调查显示,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0181.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0182,中国内地的千万富豪中,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0182.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0183,百分之四十六正在考虑移民国外,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0183.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0184,百分之十四已经移民或者正在申请移民,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0184.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0185,家资在一亿元以上的富人中,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0185.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0186,有移民意向的人比例高达百分之七十四,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0186.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0187,公布的招股意向书显示,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0187.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0188,二零一一年十月一日,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0188.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0189,该公司的大客户中,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0189.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0190,就分别包括了通号集团和通号院,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0190.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0192,在现任董事会成员中,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0192.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0193,信号系统这种产品本身并不是一个指定性的产品,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0193.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0194,而是一个竞争性的产品,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0194.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0195,信号系统是一个争竞争性领域和竞争性的产品,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0195.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0196,它在形式意义上有竞争,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0196.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0197,但在实际意义上没有竞争,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0197.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0198,它形成了一个利益圈,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0198.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0199,所有的利益在一个特定的圈子里来分配,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0199.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0200,相对应的管制措施相对较少,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0200.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0201,但在特定的过程中间,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0201.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0202,竞争只是在表面层次上展开,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0202.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0203,实质意义上没有完成,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0203.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0204,如果是指定性产品的话,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0204.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0205,而如果是竞争性产品的话,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0205.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0206,竞争者之间会相互形成制约和监督,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0206.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0207,这样能够相对保障产品的质量,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0207.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0208,从而导致了对其的管理和评价处于缺失的状态,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0208.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0209,央企无限制没有边际的扩张导致市场竞争的失败,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0209.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0210,这不利于市场化的相互监督机制的形成,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0210.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0211,如果一个垄断企业的所有产品都是内部采购,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0211.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0212,这种模式不能保证所有采购产品是市场上最好的产品,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0212.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0213,政企兴分痼疾难消产业垄断有待破除,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0213.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0214,政企不分是一种痼疾,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0214.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0215,但迄今很难说已经完全分开,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0215.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0216,尤其在号称自然垄断行业更是如此,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0216.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0217,有的迄今还是政企合一的体制,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0217.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0218,这些产业部门如今日之铁道部的法律地位,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0218.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0219,著名经济学家修泽对经济参考记者表示,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0219.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0220,常修泽向记者提供的一份数据显示,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0220.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0221,在中国行业性固定资产投资中,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0221.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0222,铁路运输业的一亿元,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0222.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0223,有一半来自于国有控股,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0223.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0224,这个比例也超过了百分之八十,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0224.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0225,垄断最大的危害就是会让竞争机制失效,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0225.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0226,市场机制要起到资源配置的作用,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0226.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0227,会极大地激发创造性,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0227.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0228,推动社会生产力发展,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0228.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0229,垄断就是消除和限制竞争的行为,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0229.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0230,竞争就会被限制和消除,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0230.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0231,市场配置的功能就会失效,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0231.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0232,整个社会的效率就会大打折扣,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0232.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0233,垄断会导致市场竞争失灵,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0233.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0234,而破除垄断的最好方法就是引入竞争,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0234.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0235,最重要的一点是要改革,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0235.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0236,创造条件让民营企业进入,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0236.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0237,但是有些行业民营企业还是很难进入,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0237.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0238,应用型的产品都应该交给市场,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0238.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0239,不应该被央企垄断起来,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0239.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0240,现在需要对央企现有的经营产品链条进行重新思考,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0240.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0241,央企是不是在经营这个产品的产业链中形成垄断,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0241.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0242,这个产业链中是不是有些行为应该放给市场,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0242.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0243,让民营企业让市场竞争企业介入,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0243.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0244,而不是单独的一家来垄断,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0244.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0245,国务院提出今年要细化三公经费的解释说明,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0245.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0246,提出推进重点领域信息公开,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0246.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0247,各省区市政府要订制三公经费公开时间表,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0247.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0248,争取在两年左右的时间内,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0248.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0249,实现省级政府全面公开三公经费,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0249.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0250,推进中央部门公开行政费,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0250.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0251,此项工作由财政部牵头落实,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0251.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0252,相对于繁杂的部门预算来说,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0252.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0255,苹果公司的中国代工厂和硕联,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0255.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0257,该展会计划于五月二十五到二十七日在中国上海举行,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0257.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0258,将汇聚近一百位行业高管,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0258.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0259,并举办为期三天的会议,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0259.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0261,从最新机器人到物联网娱乐可穿戴设备等,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0261.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0262,听取部分最具创新思维的人士提供的深刻见解,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0262.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0263,从而推动我们全球行业的发展,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0263.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0264,大会会议具体包括,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0264.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0265,中美消费科技市场的展望,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0265.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0266,五月二十五日周一,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0266.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0267,嘉里大酒店三楼上海宴会厅一,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0267.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0268,详细了解中美两大市场的主要推动因素和促成因素,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0268.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
