slot_id,text,speaker_id,split,target_label,target_issue,audio_filename,notes
proto_0019,请帮我练习,s019,val,good,,data/audio/proto_0019.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0020,我喜欢普通话,s020,test,tone_issue,tone_issue,data/audio/proto_0020.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0021,你好,s021,train,initial_issue,initial_issue,data/audio/proto_0021.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0022,谢谢,s022,train,final_issue,final_issue,data/audio/proto_0022.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0023,朋友,s023,train,unclear,unclear,data/audio/proto_0023.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0024,我很好,s024,train,timing_issue,timing_issue,data/audio/proto_0024.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0025,我要吃饭,s025,train,good,,data/audio/proto_0025.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0026,我要喝水,s026,train,good,,data/audio/proto_0026.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0027,我想吃饭,s027,train,good,,data/audio/proto_0027.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0028,请再说一遍,s028,train,tone_issue,tone_issue,data/audio/proto_0028.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0029,今天很好,s029,val,initial_issue,initial_issue,data/audio/proto_0029.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0030,明天见,s030,test,final_issue,final_issue,data/audio/proto_0030.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0031,老师你好,s031,train,unclear,unclear,data/audio/proto_0031.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0032,我学习中文,s032,train,timing_issue,timing_issue,data/audio/proto_0032.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0033,这个很难,s033,train,good,,data/audio/proto_0033.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0034,请慢一点,s034,train,good,,data/audio/proto_0034.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0035,我听不懂,s035,train,good,,data/audio/proto_0035.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0036,现在几点,s036,train,tone_issue,tone_issue,data/audio/proto_0036.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0037,我要去学校,s037,train,initial_issue,initial_issue,data/audio/proto_0037.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0038,你说得很好,s038,train,final_issue,final_issue,data/audio/proto_0038.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0039,请帮我练习,s039,val,unclear,unclear,data/audio/proto_0039.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0040,我喜欢普通话,s040,test,timing_issue,timing_issue,data/audio/proto_0040.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0041,你好,s041,train,good,,data/audio/proto_0041.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0042,谢谢,s042,train,good,,data/audio/proto_0042.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0043,朋友,s043,train,good,,data/audio/proto_0043.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0044,我很好,s044,train,tone_issue,tone_issue,data/audio/proto_0044.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0045,我要吃饭,s045,train,initial_issue,initial_issue,data/audio/proto_0045.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0046,我要喝水,s046,train,final_issue,final_issue,data/audio/proto_0046.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0047,我想吃饭,s047,train,unclear,unclear,data/audio/proto_0047.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0048,请再说一遍,s048,train,timing_issue,timing_issue,data/audio/proto_0048.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0049,今天很好,s049,val,good,,data/audio/proto_0049.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0050,明天见,s050,test,good,,data/audio/proto_0050.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0051,老师你好,s001,train,good,,data/audio/proto_0051.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0052,我学习中文,s002,train,tone_issue,tone_issue,data/audio/proto_0052.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0053,这个很难,s003,train,initial_issue,initial_issue,data/audio/proto_0053.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0054,请慢一点,s004,train,final_issue,final_issue,data/audio/proto_0054.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0055,我听不懂,s005,train,unclear,unclear,data/audio/proto_0055.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0056,现在几点,s006,train,timing_issue,timing_issue,data/audio/proto_0056.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0057,我要去学校,s007,train,good,,data/audio/proto_0057.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0058,你说得很好,s008,train,good,,data/audio/proto_0058.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0059,请帮我练习,s009,val,good,,data/audio/proto_0059.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0060,我喜欢普通话,s010,test,tone_issue,tone_issue,data/audio/proto_0060.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0061,你好,s011,train,initial_issue,initial_issue,data/audio/proto_0061.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0062,谢谢,s012,train,final_issue,final_issue,data/audio/proto_0062.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0063,朋友,s013,train,unclear,unclear,data/audio/proto_0063.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0064,我很好,s014,train,timing_issue,timing_issue,data/audio/proto_0064.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0065,我要吃饭,s015,train,good,,data/audio/proto_0065.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0066,我要喝水,s016,train,good,,data/audio/proto_0066.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0067,我想吃饭,s017,train,good,,data/audio/proto_0067.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0068,请再说一遍,s018,train,tone_issue,tone_issue,data/audio/proto_0068.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0069,今天很好,s019,val,initial_issue,initial_issue,data/audio/proto_0069.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0070,明天见,s020,test,final_issue,final_issue,data/audio/proto_0070.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0071,老师你好,s021,train,unclear,unclear,data/audio/proto_0071.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0072,我学习中文,s022,train,timing_issue,timing_issue,data/audio/proto_0072.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0073,这个很难,s023,train,good,,data/audio/proto_0073.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0074,请慢一点,s024,train,good,,data/audio/proto_0074.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0075,我听不懂,s025,train,good,,data/audio/proto_0075.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0076,现在几点,s026,train,tone_issue,tone_issue,data/audio/proto_0076.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0077,我要去学校,s027,train,initial_issue,initial_issue,data/audio/proto_0077.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0078,你说得很好,s028,train,final_issue,final_issue,data/audio/proto_0078.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0079,请帮我练习,s029,val,unclear,unclear,data/audio/proto_0079.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0080,我喜欢普通话,s030,test,timing_issue,timing_issue,data/audio/proto_0080.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0081,你好,s031,train,good,,data/audio/proto_0081.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0082,谢谢,s032,train,good,,data/audio/proto_0082.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0083,朋友,s033,train,good,,data/audio/proto_0083.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0084,我很好,s034,train,tone_issue,tone_issue,data/audio/proto_0084.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0085,我要吃饭,s035,train,initial_issue,initial_issue,data/audio/proto_0085.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0086,我要喝水,s036,train,final_issue,final_issue,data/audio/proto_0086.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0087,我想吃饭,s037,train,unclear,unclear,data/audio/proto_0087.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0088,请再说一遍,s038,train,timing_issue,timing_issue,data/audio/proto_0088.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0089,今天很好,s039,val,good,,data/audio/proto_0089.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0090,明天见,s040,test,good,,data/audio/proto_0090.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0091,老师你好,s041,train,good,,data/audio/proto_0091.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0092,我学习中文,s042,train,tone_issue,tone_issue,data/audio/proto_0092.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0093,这个很难,s043,train,initial_issue,initial_issue,data/audio/proto_0093.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0094,请慢一点,s044,train,final_issue,final_issue,data/audio/proto_0094.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0095,我听不懂,s045,train,unclear,unclear,data/audio/proto_0095.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0096,现在几点,s046,train,timing_issue,timing_issue,data/audio/proto_0096.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0097,我要去学校,s047,train,good,,data/audio/proto_0097.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0098,你说得很好,s048,train,good,,data/audio/proto_0098.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0099,请帮我练习,s049,val,good,,data/audio/proto_0099.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0100,我喜欢普通话,s050,test,tone_issue,tone_issue,data/audio/proto_0100.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0101,你好,s001,train,initial_issue,initial_issue,data/audio/proto_0101.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0102,谢谢,s002,train,final_issue,final_issue,data/audio/proto_0102.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0103,朋友,s003,train,unclear,unclear,data/audio/proto_0103.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0104,我很好,s004,train,timing_issue,timing_issue,data/audio/proto_0104.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0105,我要吃饭,s005,train,good,,data/audio/proto_0105.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0106,我要喝水,s006,train,good,,data/audio/proto_0106.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0107,我想吃饭,s007,train,good,,data/audio/proto_0107.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0108,请再说一遍,s008,train,tone_issue,tone_issue,data/audio/proto_0108.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0109,今天很好,s009,val,initial_issue,initial_issue,data/audio/proto_0109.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0110,明天见,s010,test,final_issue,final_issue,data/audio/proto_0110.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0111,老师你好,s011,train,unclear,unclear,data/audio/proto_0111.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0112,我学习中文,s012,train,timing_issue,timing_issue,data/audio/proto_0112.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0113,这个很难,s013,train,good,,data/audio/proto_0113.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0114,请慢一点,s014,train,good,,data/audio/proto_0114.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0115,我听不懂,s015,train,good,,data/audio/proto_0115.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0116,现在几点,s016,train,tone_issue,tone_issue,data/audio/proto_0116.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0117,我要去学校,s017,train,initial_issue,initial_issue,data/audio/proto_0117.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0118,你说得很好,s018,train,final_issue,final_issue,data/audio/proto_0118.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0119,请帮我练习,s019,val,unclear,unclear,data/audio/proto_0119.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0120,我喜欢普通话,s020,test,timing_issue,timing_issue,data/audio/proto_0120.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0121,你好,s021,train,good,,data/audio/proto_0121.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0122,谢谢,s022,train,good,,data/audio/proto_0122.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0123,朋友,s023,train,good,,data/audio/proto_0123.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0124,我很好,s024,train,tone_issue,tone_issue,data/audio/proto_0124.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0125,我要吃饭,s025,train,initial_issue,initial_issue,data/audio/proto_0125.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0126,我要喝水,s026,train,final_issue,final_issue,data/audio/proto_0126.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0127,我想吃饭,s027,train,unclear,unclear,data/audio/proto_0127.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0128,请再说一遍,s028,train,timing_issue,timing_issue,data/audio/proto_0128.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0129,今天很好,s029,val,good,,data/audio/proto_0129.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0130,明天见,s030,test,good,,data/audio/proto_0130.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0131,老师你好,s031,train,good,,data/audio/proto_0131.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0132,我学习中文,s032,train,tone_issue,tone_issue,data/audio/proto_0132.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0133,这个很难,s033,train,initial_issue,initial_issue,data/audio/proto_0133.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0134,请慢一点,s034,train,final_issue,final_issue,data/audio/proto_0134.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0135,我听不懂,s035,train,unclear,unclear,data/audio/proto_0135.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0136,现在几点,s036,train,timing_issue,timing_issue,data/audio/proto_0136.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0137,我要去学校,s037,train,good,,data/audio/proto_0137.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0138,你说得很好,s038,train,good,,data/audio/proto_0138.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0139,请帮我练习,s039,val,good,,data/audio/proto_0139.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0140,我喜欢普通话,s040,test,tone_issue,tone_issue,data/audio/proto_0140.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0141,你好,s041,train,initial_issue,initial_issue,data/audio/proto_0141.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0142,谢谢,s042,train,final_issue,final_issue,data/audio/proto_0142.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0143,朋友,s043,train,unclear,unclear,data/audio/proto_0143.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0144,我很好,s044,train,timing_issue,timing_issue,data/audio/proto_0144.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0145,我要吃饭,s045,train,good,,data/audio/proto_0145.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0146,我要喝水,s046,train,good,,data/audio/proto_0146.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0147,我想吃饭,s047,train,good,,data/audio/proto_0147.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0148,请再说一遍,s048,train,tone_issue,tone_issue,data/audio/proto_0148.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0149,今天很好,s049,val,initial_issue,initial_issue,data/audio/proto_0149.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0150,明天见,s050,test,final_issue,final_issue,data/audio/proto_0150.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0151,老师你好,s001,train,unclear,unclear,data/audio/proto_0151.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0152,我学习中文,s002,train,timing_issue,timing_issue,data/audio/proto_0152.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0153,这个很难,s003,train,good,,data/audio/proto_0153.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0154,请慢一点,s004,train,good,,data/audio/proto_0154.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0155,我听不懂,s005,train,good,,data/audio/proto_0155.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0156,现在几点,s006,train,tone_issue,tone_issue,data/audio/proto_0156.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0157,我要去学校,s007,train,initial_issue,initial_issue,data/audio/proto_0157.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0158,你说得很好,s008,train,final_issue,final_issue,data/audio/proto_0158.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0159,请帮我练习,s009,val,unclear,unclear,data/audio/proto_0159.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0160,我喜欢普通话,s010,test,timing_issue,timing_issue,data/audio/proto_0160.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0161,你好,s011,train,good,,data/audio/proto_0161.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0162,谢谢,s012,train,good,,data/audio/proto_0162.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0163,朋友,s013,train,good,,data/audio/proto_0163.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0164,我很好,s014,train,tone_issue,tone_issue,data/audio/proto_0164.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0165,我要吃饭,s015,train,initial_issue,initial_issue,data/audio/proto_0165.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0166,我要喝水,s016,train,final_issue,final_issue,data/audio/proto_0166.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0167,我想吃饭,s017,train,unclear,unclear,data/audio/proto_0167.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0168,请再说一遍,s018,train,timing_issue,timing_issue,data/audio/proto_0168.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0169,今天很好,s019,val,good,,data/audio/proto_0169.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0170,明天见,s020,test,good,,data/audio/proto_0170.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0171,老师你好,s021,train,good,,data/audio/proto_0171.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0172,我学习中文,s022,train,tone_issue,tone_issue,data/audio/proto_0172.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0173,这个很难,s023,train,initial_issue,initial_issue,data/audio/proto_0173.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0174,请慢一点,s024,train,final_issue,final_issue,data/audio/proto_0174.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0175,我听不懂,s025,train,unclear,unclear,data/audio/proto_0175.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0176,现在几点,s026,train,timing_issue,timing_issue,data/audio/proto_0176.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0177,我要去学校,s027,train,good,,data/audio/proto_0177.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0178,你说得很好,s028,train,good,,data/audio/proto_0178.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0179,请帮我练习,s029,val,good,,data/audio/proto_0179.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0180,我喜欢普通话,s030,test,tone_issue,tone_issue,data/audio/proto_0180.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0181,你好,s031,train,initial_issue,initial_issue,data/audio/proto_0181.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0182,谢谢,s032,train,final_issue,final_issue,data/audio/proto_0182.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0183,朋友,s033,train,unclear,unclear,data/audio/proto_0183.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0184,我很好,s034,train,timing_issue,timing_issue,data/audio/proto_0184.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0185,我要吃饭,s035,train,good,,data/audio/proto_0185.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0186,我要喝水,s036,train,good,,data/audio/proto_0186.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0187,我想吃饭,s037,train,good,,data/audio/proto_0187.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0188,请再说一遍,s038,train,tone_issue,tone_issue,data/audio/proto_0188.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0189,今天很好,s039,val,initial_issue,initial_issue,data/audio/proto_0189.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0190,明天见,s040,test,final_issue,final_issue,data/audio/proto_0190.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0191,老师你好,s041,train,unclear,unclear,data/audio/proto_0191.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0192,我学习中文,s042,train,timing_issue,timing_issue,data/audio/proto_0192.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0193,这个很难,s043,train,good,,data/audio/proto_0193.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0194,请慢一点,s044,train,good,,data/audio/proto_0194.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0195,我听不懂,s045,train,good,,data/audio/proto_0195.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0196,现在几点,s046,train,tone_issue,tone_issue,data/audio/proto_0196.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0197,我要去学校,s047,train,initial_issue,initial_issue,data/audio/proto_0197.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0198,你说得很好,s048,train,final_issue,final_issue,data/audio/proto_0198.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0199,请帮我练习,s049,val,unclear,unclear,data/audio/proto_0199.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0200,我喜欢普通话,s050,test,timing_issue,timing_issue,data/audio/proto_0200.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0201,你好,s001,train,good,,data/audio/proto_0201.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0202,谢谢,s002,train,good,,data/audio/proto_0202.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0203,朋友,s003,train,good,,data/audio/proto_0203.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0204,我很好,s004,train,tone_issue,tone_issue,data/audio/proto_0204.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0205,我要吃饭,s005,train,initial_issue,initial_issue,data/audio/proto_0205.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0206,我要喝水,s006,train,final_issue,final_issue,data/audio/proto_0206.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0207,我想吃饭,s007,train,unclear,unclear,data/audio/proto_0207.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0208,请再说一遍,s008,train,timing_issue,timing_issue,data/audio/proto_0208.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0209,今天很好,s009,val,good,,data/audio/proto_0209.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0210,明天见,s010,test,good,,data/audio/proto_0210.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0211,老师你好,s011,train,good,,data/audio/proto_0211.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0212,我学习中文,s012,train,tone_issue,tone_issue,data/audio/proto_0212.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0213,这个很难,s013,train,initial_issue,initial_issue,data/audio/proto_0213.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0214,请慢一点,s014,train,final_issue,final_issue,data/audio/proto_0214.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0215,我听不懂,s015,train,unclear,unclear,data/audio/proto_0215.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0216,现在几点,s016,train,timing_issue,timing_issue,data/audio/proto_0216.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0217,我要去学校,s017,train,good,,data/audio/proto_0217.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0218,你说得很好,s018,train,good,,data/audio/proto_0218.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0219,请帮我练习,s019,val,good,,data/audio/proto_0219.wav,Record one clean take for good slots; record the named learner issue for issue slots.
